"product_name","source","id","Reviewer","Rating","Title","Date","Body","Number","image_urls"
"product1","all review","11","Bingo","4.0 out of 5 stars","For the most part they're good","Reviewed in the United States on February 1, 2024","I only have 2 problems with them (as of the day of receiving them):1. They're always loud. Even on the lowest volume setting I can have them on before they stop playing audio altogether (until I turn the sound back up)2. I wish there were left-right indicators on the earbuds themselves. I'm kinda dumb and can't really tell which earbud is supposed to go in which ear until I actually put them in.3. (Not really an issue but it's still something I'd like to talk about): the touch controls are definitely something to get used to. One thing I've also noticed is that you can only use the earbuds to adjust the volume of there's any media playing. Otherwise it won't work at all.4. The earbud case battery also drains a bit too quickly for comfort. Other than that, everything's fine so far.","4",""
"product1","all review","12","Mr. B","4.0 out of 5 stars","Everything is getting smaller, is it really worth it?","Reviewed in the United States on March 12, 2024","They work great. My only complaint is they are so small that every time I grab them I touch a different control and change something even while just trying to push them back in my ears. There are a number of control built into the head sets pieces. Once you start your machine most everything can be controlled from touching the ear pieces.","4",""
"product1","all review","13","Jackie Pronovost","4.0 out of 5 stars","Earbuds for small ear canals","Reviewed in the United States on February 22, 2024","I hate when I put in eabuds, and they proceed to fall out of my ears even when I use the smallest size. The true wire Earbuds have been in my ears since I took them out of the box and have not fallen out yet which is a record. I know I am going to enjoy listening to my podcasts and music with these earbuds because I won't have to keep looking for them or pausing whatever I am doing. I might get some things done quicker.","4",""
"product1","all review","14","xdgaf","4.0 out of 5 stars","Great for the price","Reviewed in the United States on March 5, 2024","My wife is always losing headphones so after losing multiple more expensive ones she uses these and loves them just as much and still hasn’t lost them. Battery life is good sound quality is decent only complaint is it is hard for the person to hear you on the other end of there is any background noise it starts to mesh together.","4",""
"product1","all review","15","Nicole w","4.0 out of 5 stars","UPDATE: my bad, they work fine.","Reviewed in the United States on January 19, 2024","so.... my bad. I did not have my PC bluetooth antenna hooked up properly. Which is strange bc i work with computers for a living. anyway, the ear buds work actually super well with my pc now and are my go to for zoom calls.good job guys and i apologize for the initial negative reviewignore previous review below.works great as earbuds for a phone, but do NOT try to use them with a PC or laptop. For whatever reason in this situation their range is axed to like 6"", and they cut in and out constantly if your head isn't right next to your computer. It makes zoom calls so insanely frustrating.","4",""
"product1","all review","16","Loren","4.0 out of 5 stars","Really solid choice for wireless earphones!","Reviewed in the United States on March 18, 2024","I use these EVERY DAY! I love them. The only issue I have is that sometimes the mic works seamlessly, sometimes, I have to disconnect and reconnect. But for the price, they're really solid!","4",""
"product1","all review","17","S. Westfall","4.0 out of 5 stars","Only connects to 1 device","Reviewed in the United States on February 27, 2024","A little disappointed, because another Bluetooth earbud device I have can connect to both my cellphone and my tablet at the same time, but this earbud does not. I have to disable Bluetooth on one device in order to be able to manually connect it to the other device.","4",""
"product1","all review","18","WAL IV","4.0 out of 5 stars","Sometimes have to re-pair","Reviewed in the United States on March 1, 2024","Sound is great.  Fit well in the ears/stay put pretty well.  Biggest issues - I have to re-pair with my device once in a while and the microphone for phone calls isn’t always clear for the listener.  Overall, I’m super happy and would buy these again.","4",""
"product1","all review","19","Nia","4.0 out of 5 stars","Pretty good","Reviewed in the United States on March 9, 2024","I think these AirPods are pretty Good the quality is pretty good they are very loud, the audio is clear enough for me. For the price they work very well.","4",""
"product1","all review","20","BT","4.0 out of 5 stars","Great value for the money","Reviewed in the United States on February 6, 2024","They are a great value.  Connect well and sound good.  The audio when speaking on the phone is not great, but sufficient, especially considering the cost.","4",""
"product1","all review","21","Ducci","4.0 out of 5 stars","Great for price.","Reviewed in the United States on February 11, 2024","Very good battery life and quality. Only thing it needs improvement on is the mic. Im very low and unclear sounding on the other end of a convo.","4",""
"product1","all review","22","Placeholder","4.0 out of 5 stars","Warranty","Reviewed in the United States on February 23, 2024","The buds are fine. And work well so far, but the ""Lifetime Warranty costs $49.99 and you can buy new ones for less than 1 months Warranty, LOL.","4",""
